ï»¿AREA 1,AREA 2,M3,backload,standard
Brisbane,Melbourne,1,300,400
Brisbane,Melbourne,2,300,400
Brisbane,Melbourne,3,300,400
Brisbane,Melbourne,4,300,400
Brisbane,Melbourne,5,300,400
Brisbane,Melbourne,6,330,400
Brisbane,Melbourne,7,350,440
Brisbane,Melbourne,8,400,500
Brisbane,Melbourne,9,450,550
Brisbane,Melbourne,10,500,600
Brisbane,Melbourne,11,550,660
Brisbane,Melbourne,12,600,720
Brisbane,Melbourne,13,650,780
Brisbane,Melbourne,14,700,840
Brisbane,Melbourne,15,750,900
Brisbane,Melbourne,16,800,960
Brisbane,Melbourne,17,850,1020
Brisbane,Melbourne,18,900,1080
Brisbane,Melbourne,19,950,1140
Brisbane,Melbourne,20,1000,1200
Brisbane,Melbourne,21,1050,1260
Brisbane,Melbourne,22,1100,1320
Brisbane,Melbourne,23,1150,1380
Brisbane,Melbourne,24,1200,1440
Brisbane,Melbourne,25,1250,1500
Brisbane,Melbourne,26,1300,1560
Brisbane,Melbourne,27,1350,1620
Brisbane,Melbourne,28,1400,1680
Brisbane,Melbourne,29,1450,1740
Brisbane,Melbourne,30,1500,1800
Brisbane,Melbourne,31,1550,1860
Brisbane,Melbourne,32,1600,1920
Brisbane,Melbourne,33,1650,1980
Brisbane,Melbourne,34,1700,2040
Brisbane,Melbourne,35,CLEARSKY ,CLEARSKY 
